ROLE,PASSWORD_REQUIRED,AUTHENTICATION_TYPE
CONNECT,NO,NONE
RESOURCE,NO,NONE
DBA,NO,NONE
PDB_DBA,NO,NONE
AUDIT_ADMIN,NO,NONE
AUDIT_VIEWER,NO,NONE
SELECT_CATALOG_ROLE,NO,NONE
EXECUTE_CATALOG_ROLE,NO,NONE
CAPTURE_ADMIN,NO,NONE
EXP_FULL_DATABASE,NO,NONE
IMP_FULL_DATABASE,NO,NONE
AVTUNE_PKG_ROLE,NO,NONE
XS_CONNECT,NO,NONE
CDB_DBA,NO,NONE
APPLICATION_TRACE_VIEWER,NO,NONE
ACCHK_READ,NO,NONE
LOGSTDBY_ADMINISTRATOR,NO,NONE
DBFS_ROLE,NO,NONE
GSMUSER_ROLE,NO,NONE
GSMROOTUSER_ROLE,NO,NONE
DATAPUMP_EXP_FULL_DATABASE,NO,NONE
DATAPUMP_IMP_FULL_DATABASE,NO,NONE
AQ_ADMINISTRATOR_ROLE,NO,NONE
AQ_USER_ROLE,NO,NONE
ADM_PARALLEL_EXECUTE_TASK,NO,NONE
PROVISIONER,NO,NONE
XS_SESSION_ADMIN,NO,NONE
XS_NAMESPACE_ADMIN,NO,NONE
XS_CACHE_ADMIN,NO,NONE
HS_ADMIN_SELECT_ROLE,NO,NONE
GATHER_SYSTEM_STATISTICS,NO,NONE
OPTIMIZER_PROCESSING_RATE,NO,NONE
DBMS_MDX_INTERNAL,NO,NONE
BDSQL_ADMIN,NO,NONE
BDSQL_USER,NO,NONE
RECOVERY_CATALOG_OWNER,NO,NONE
RECOVERY_CATALOG_OWNER_VPD,NO,NONE
RECOVERY_CATALOG_USER,NO,NONE
EM_EXPRESS_BASIC,NO,NONE
EM_EXPRESS_ALL,NO,NONE
SYSUMF_ROLE,NO,NONE
MAINTPLAN_APP,NO,NONE
SCHEDULER_ADMIN,NO,NONE
PPLB_ROLE,NO,NONE
XDB_WEBSERVICES_OVER_HTTP,NO,NONE
HS_ADMIN_EXECUTE_ROLE,NO,NONE
HS_ADMIN_ROLE,NO,NONE
GLOBAL_AQ_USER_ROLE,GLOBAL,GLOBAL
OEM_ADVISOR,NO,NONE
OEM_MONITOR,NO,NONE
GSMADMIN_ROLE,NO,NONE
GSM_POOLADMIN_ROLE,NO,NONE
GDS_CATALOG_SELECT,NO,NONE
GGSYS_ROLE,NO,NONE
XDBADMIN,NO,NONE
XDB_SET_INVOKER,NO,NONE
AUTHENTICATEDUSER,NO,NONE
XDB_WEBSERVICES,NO,NONE
XDB_WEBSERVICES_WITH_PUBLIC,NO,NONE
OLAP_XS_ADMIN,NO,NONE
SODA_APP,NO,NONE
DATAPATCH_ROLE,NO,NONE
CTXAPP,NO,NONE
DV_SECANALYST,NO,NONE
RDFCTX_ADMIN,NO,NONE
LBAC_DBA,NO,NONE
DV_MONITOR,NO,NONE
DV_ADMIN,NO,NONE
DV_OWNER,NO,NONE
DV_ACCTMGR,NO,NONE
DV_PATCH_ADMIN,NO,NONE
DV_STREAMS_ADMIN,NO,NONE
DV_GOLDENGATE_ADMIN,NO,NONE
DV_XSTREAM_ADMIN,NO,NONE
DV_GOLDENGATE_REDO_ACCESS,NO,NONE
DV_AUDIT_CLEANUP,NO,NONE
DV_DATAPUMP_NETWORK_LINK,NO,NONE
DV_POLICY_OWNER,NO,NONE
