SQL_ID,PLAN_HASH_VALUE,ID,OPERATION,OPTIONS,OBJECT_NAME,OPTIMIZER,COST,CPU_COST,IO_COST,TIME
gngtvs38t0060,3679945446,0,SELECT STATEMENT,,,CHOOSE,8.0,,,
gngtvs38t0060,3679945446,1,SORT,UNIQUE,,,7.0,36930346.0,6.0,1.0
gngtvs38t0060,3679945446,2,UNION-ALL,,,,,,,
gngtvs38t0060,3679945446,3,CONNECT BY,WITH FILTERING (UNIQUE),,,,,,
gngtvs38t0060,3679945446,4,HASH JOIN,,,,2.0,20472.0,2.0,1.0
gngtvs38t0060,3679945446,5,NESTED LOOPS,,,,2.0,20472.0,2.0,1.0
gngtvs38t0060,3679945446,6,STATISTICS COLLECTOR,,,,,,,
gngtvs38t0060,3679945446,7,INDEX,RANGE SCAN,I_CODEAUTH1,,1.0,7321.0,1.0,1.0
gngtvs38t0060,3679945446,8,INDEX,RANGE SCAN,I_SYSAUTH1,,1.0,13151.0,1.0,1.0
gngtvs38t0060,3679945446,9,INDEX,FAST FULL SCAN,I_SYSAUTH1,,1.0,13151.0,1.0,1.0
gngtvs38t0060,3679945446,10,HASH JOIN,,,,3.0,33623.0,3.0,1.0
gngtvs38t0060,3679945446,11,NESTED LOOPS,,,,3.0,33623.0,3.0,1.0
gngtvs38t0060,3679945446,12,STATISTICS COLLECTOR,,,,,,,
gngtvs38t0060,3679945446,13,CONNECT BY PUMP,,,,,,,
gngtvs38t0060,3679945446,14,INDEX,RANGE SCAN,I_SYSAUTH1,,1.0,13151.0,1.0,1.0
gngtvs38t0060,3679945446,15,INDEX,FAST FULL SCAN,I_SYSAUTH1,,1.0,13151.0,1.0,1.0
gngtvs38t0060,3679945446,16,INDEX,RANGE SCAN,I_CODEAUTH1,,1.0,7321.0,1.0,1.0
gngtvs38t0060,3679945446,0,SELECT STATEMENT,,,CHOOSE,8.0,,,
gngtvs38t0060,3679945446,1,SORT,UNIQUE,,,7.0,36930346.0,6.0,1.0
gngtvs38t0060,3679945446,2,UNION-ALL,,,,,,,
gngtvs38t0060,3679945446,3,CONNECT BY,WITH FILTERING (UNIQUE),,,,,,
gngtvs38t0060,3679945446,4,HASH JOIN,,,,2.0,20472.0,2.0,1.0
gngtvs38t0060,3679945446,5,NESTED LOOPS,,,,2.0,20472.0,2.0,1.0
gngtvs38t0060,3679945446,6,STATISTICS COLLECTOR,,,,,,,
gngtvs38t0060,3679945446,7,INDEX,RANGE SCAN,I_CODEAUTH1,,1.0,7321.0,1.0,1.0
gngtvs38t0060,3679945446,8,INDEX,RANGE SCAN,I_SYSAUTH1,,1.0,13151.0,1.0,1.0
gngtvs38t0060,3679945446,9,INDEX,FAST FULL SCAN,I_SYSAUTH1,,1.0,13151.0,1.0,1.0
gngtvs38t0060,3679945446,10,HASH JOIN,,,,3.0,33623.0,3.0,1.0
gngtvs38t0060,3679945446,11,NESTED LOOPS,,,,3.0,33623.0,3.0,1.0
gngtvs38t0060,3679945446,12,STATISTICS COLLECTOR,,,,,,,
gngtvs38t0060,3679945446,13,CONNECT BY PUMP,,,,,,,
gngtvs38t0060,3679945446,14,INDEX,RANGE SCAN,I_SYSAUTH1,,1.0,13151.0,1.0,1.0
gngtvs38t0060,3679945446,15,INDEX,FAST FULL SCAN,I_SYSAUTH1,,1.0,13151.0,1.0,1.0
gngtvs38t0060,3679945446,16,INDEX,RANGE SCAN,I_CODEAUTH1,,1.0,7321.0,1.0,1.0
gngtvs38t0060,3679945446,0,SELECT STATEMENT,,,CHOOSE,8.0,,,
gngtvs38t0060,3679945446,1,SORT,UNIQUE,,,7.0,36930346.0,6.0,1.0
gngtvs38t0060,3679945446,2,UNION-ALL,,,,,,,
gngtvs38t0060,3679945446,3,CONNECT BY,WITH FILTERING (UNIQUE),,,,,,
gngtvs38t0060,3679945446,4,HASH JOIN,,,,2.0,20472.0,2.0,1.0
gngtvs38t0060,3679945446,5,NESTED LOOPS,,,,2.0,20472.0,2.0,1.0
gngtvs38t0060,3679945446,6,STATISTICS COLLECTOR,,,,,,,
gngtvs38t0060,3679945446,7,INDEX,RANGE SCAN,I_CODEAUTH1,,1.0,7321.0,1.0,1.0
gngtvs38t0060,3679945446,8,INDEX,RANGE SCAN,I_SYSAUTH1,,1.0,13151.0,1.0,1.0
gngtvs38t0060,3679945446,9,INDEX,FAST FULL SCAN,I_SYSAUTH1,,1.0,13151.0,1.0,1.0
gngtvs38t0060,3679945446,10,HASH JOIN,,,,3.0,33623.0,3.0,1.0
gngtvs38t0060,3679945446,11,NESTED LOOPS,,,,3.0,33623.0,3.0,1.0
gngtvs38t0060,3679945446,12,STATISTICS COLLECTOR,,,,,,,
gngtvs38t0060,3679945446,13,CONNECT BY PUMP,,,,,,,
gngtvs38t0060,3679945446,14,INDEX,RANGE SCAN,I_SYSAUTH1,,1.0,13151.0,1.0,1.0
gngtvs38t0060,3679945446,15,INDEX,FAST FULL SCAN,I_SYSAUTH1,,1.0,13151.0,1.0,1.0
gngtvs38t0060,3679945446,16,INDEX,RANGE SCAN,I_CODEAUTH1,,1.0,7321.0,1.0,1.0
gngtvs38t0060,3679945446,0,SELECT STATEMENT,,,CHOOSE,8.0,,,
gngtvs38t0060,3679945446,1,SORT,UNIQUE,,,7.0,37884557.0,6.0,1.0
gngtvs38t0060,3679945446,2,UNION-ALL,,,,,,,
gngtvs38t0060,3679945446,3,CONNECT BY,WITH FILTERING (UNIQUE),,,,,,
gngtvs38t0060,3679945446,4,HASH JOIN,,,,2.0,20471.0,2.0,1.0
gngtvs38t0060,3679945446,5,NESTED LOOPS,,,,2.0,20471.0,2.0,1.0
gngtvs38t0060,3679945446,6,STATISTICS COLLECTOR,,,,,,,
gngtvs38t0060,3679945446,7,INDEX,RANGE SCAN,I_CODEAUTH1,,1.0,7321.0,1.0,1.0
gngtvs38t0060,3679945446,8,INDEX,RANGE SCAN,I_SYSAUTH1,,1.0,13149.0,1.0,1.0
gngtvs38t0060,3679945446,9,INDEX,FAST FULL SCAN,I_SYSAUTH1,,1.0,13149.0,1.0,1.0
gngtvs38t0060,3679945446,10,HASH JOIN,,,,3.0,33620.0,3.0,1.0
gngtvs38t0060,3679945446,11,NESTED LOOPS,,,,3.0,33620.0,3.0,1.0
gngtvs38t0060,3679945446,12,STATISTICS COLLECTOR,,,,,,,
gngtvs38t0060,3679945446,13,CONNECT BY PUMP,,,,,,,
gngtvs38t0060,3679945446,14,INDEX,RANGE SCAN,I_SYSAUTH1,,1.0,13149.0,1.0,1.0
gngtvs38t0060,3679945446,15,INDEX,FAST FULL SCAN,I_SYSAUTH1,,1.0,13149.0,1.0,1.0
gngtvs38t0060,3679945446,16,INDEX,RANGE SCAN,I_CODEAUTH1,,1.0,7321.0,1.0,1.0
gngtvs38t0060,3679945446,0,SELECT STATEMENT,,,CHOOSE,8.0,,,
gngtvs38t0060,3679945446,1,SORT,UNIQUE,,,7.0,37884557.0,6.0,1.0
gngtvs38t0060,3679945446,2,UNION-ALL,,,,,,,
gngtvs38t0060,3679945446,3,CONNECT BY,WITH FILTERING (UNIQUE),,,,,,
gngtvs38t0060,3679945446,4,HASH JOIN,,,,2.0,20471.0,2.0,1.0
gngtvs38t0060,3679945446,5,NESTED LOOPS,,,,2.0,20471.0,2.0,1.0
gngtvs38t0060,3679945446,6,STATISTICS COLLECTOR,,,,,,,
gngtvs38t0060,3679945446,7,INDEX,RANGE SCAN,I_CODEAUTH1,,1.0,7321.0,1.0,1.0
gngtvs38t0060,3679945446,8,INDEX,RANGE SCAN,I_SYSAUTH1,,1.0,13149.0,1.0,1.0
gngtvs38t0060,3679945446,9,INDEX,FAST FULL SCAN,I_SYSAUTH1,,1.0,13149.0,1.0,1.0
gngtvs38t0060,3679945446,10,HASH JOIN,,,,3.0,33620.0,3.0,1.0
gngtvs38t0060,3679945446,11,NESTED LOOPS,,,,3.0,33620.0,3.0,1.0
gngtvs38t0060,3679945446,12,STATISTICS COLLECTOR,,,,,,,
gngtvs38t0060,3679945446,13,CONNECT BY PUMP,,,,,,,
gngtvs38t0060,3679945446,14,INDEX,RANGE SCAN,I_SYSAUTH1,,1.0,13149.0,1.0,1.0
gngtvs38t0060,3679945446,15,INDEX,FAST FULL SCAN,I_SYSAUTH1,,1.0,13149.0,1.0,1.0
gngtvs38t0060,3679945446,16,INDEX,RANGE SCAN,I_CODEAUTH1,,1.0,7321.0,1.0,1.0
6ayccp4h1n07f,1722148364,0,SELECT STATEMENT,,,ALL_ROWS,2.0,,,
6ayccp4h1n07f,1722148364,1,NESTED LOOPS,,,,2.0,20063.0,2.0,1.0
6ayccp4h1n07f,1722148364,2,NESTED LOOPS,,,,2.0,16513.0,2.0,1.0
6ayccp4h1n07f,1722148364,3,TABLE ACCESS,BY INDEX ROWID,USER$,,1.0,8341.0,1.0,1.0
6ayccp4h1n07f,1722148364,4,INDEX,UNIQUE SCAN,I_USER1,,0.0,1050.0,0.0,
6ayccp4h1n07f,1722148364,5,INDEX,RANGE SCAN,I_OBJ2,,1.0,8171.0,1.0,1.0
6ayccp4h1n07f,1722148364,6,FIXED TABLE,FIXED INDEX,X$DIR (ind:1),,0.0,3551.0,0.0,
g7hxzvt6ts081,1372132613,0,SELECT STATEMENT,,,CHOOSE,3.0,,,
g7hxzvt6ts081,1372132613,1,TABLE ACCESS,FULL,WRM$_WR_CONTROL,,3.0,35817.0,3.0,1.0
