SQL_ID,SQL_TEXT,ELAPSED_TIME,CPU_TIME,EXECUTIONS,DISK_READS,BUFFER_GETS,OPTIMIZER_COST
b39m8n96gxk7c,"call dbms_autotask_prvt.run_autotask ( :0,:1 )",2502466,2184050,1,849,17451,0
ampw9ddqufjd3,begin /*KAPI:capture*/ dbms_auto_index_internal.capture_sts; end;,2420907,2124582,1,825,17076,0
f6cz4n8y72xdc,SELECT space_usage_kbytes  FROM  v$sysaux_occupants  WHERE occupant_name = 'SQL_MANAGEMENT_BASE',1391657,477566,1,1865,27595,1
a8xypykqc348c,"BEGIN    dbms_stats_internal.advisor_setup_obj_filter(:tid, :rid, 'EXECUTE', FALSE); END;",1364724,216471,2,1310,4534,0
avf5k3k0x0cxn,"           insert into stats_advisor_filter_obj$            (rule_id, obj#, flags, type)            select :rule_id, obj#, :flag_include, :type_expanded            from stats_advisor_filter_obj$      ",1113162,47705,2,2,134,3
c61ajdcqbqn42,"SELECT  new.sql_seq, old.plan_hash_value, sqlset_row(new.sql_id,new.force_matching_signature,  new.sql_text, new.object_list,  new.bind_data, new.parsing_schema_name,  new.module, new.action, new.elap",992814,945707,1,131,3219,53
4zrrrx9b5mvmj,"select /*+ no_monitor no_statement_queuing current_instance */      alljobs.CON_ID, OBJOID,      RETRYCNT, alljobs.FLAGS, STATUS,      ISLW, PARNT, JDESTID, LSTIME FROM (  select nvl(a.con_id,0) CON_I",877550,808233,3,23,2557,2
02577v815yp77,BEGIN :success := dbms_ha_alerts_prvt.post_instance_up; END;,856435,734038,1,283,5420,0
69281qgxn6jp9,"select partition_name from (select partition_name, rownum rn       from (select PARTITION_NAME             from all_tab_partitions             where table_name = 'WRP$_REPORTS_TIME_BANDS'             ",752694,134578,1,0,164,46
35wx0ztzd89yj,begin gsmadmin_internal.dbms_gsm_cloudadmin.syncParameters; end;,722889,76132,1,84,929,0
7hnc5ucz8grnt,SELECT VALUE(P) FROM TABLE(DBMS_SQLTUNE.SELECT_CURSOR_CACHE( BASIC_FILTER=> q'# (module is null or (module != '#' || :B1 || q'#' and module != '#' || :B2 || q'#')) and sql_text not like 'SELECT /* DS_,703359,694620,1,56,2165,29
3un99a0zwp4vd,"select owner#,name,namespace,remoteowner,linkname,p_timestamp,p_obj#, nvl(property,0),subname,type#,flags,d_attrs from dependency$ d, obj$ o where d_obj#=:1 and p_obj#=obj#(+) order by order#",693986,506474,54,1236,61660,8
63r9sp2vyhryv,delete /* QOSH:PURGE_OLD_STS *//*+ dynamic_sampling(4) */ from sys.wri$_optstat_opr_tasks            where start_time < :1   and rownum <=  :2   ,629612,9801,1,24,148,3
c7kptxk2fypps,"with occupant_segments as (select distinct segment_name from   (select o1.segment_name, o1.segment_name table_name    from x$kewx_segments o1    union all    select o2.lob_name, o2.table_name    from ",619075,9501,1,0,28,1
5u7g54s63p4ts,select toid from type$ where package_obj#=:1 and typ_name=:2,617293,7311,5,3,19,2
ct9ppzr6uuzv9,"select owner, segment_name, nvl(sum(blocks), 0)   from dba_segments  where tablespace_name = :tsname group by owner, segment_name",568674,274873,1,1855,23029,1139
bj1mt6pa09d3p," BEGIN    DBMS_SCHEDULER.SET_JOB_ARGUMENT_VALUE (      job_name   => :job_name,      argument_position   => 2,      argument_value      => :job_magic_num);    DBMS_SCHEDULER.SET_ATTRIBUTE(      name  ",550278,475784,1,194,18751,0
b9p45hkcx0pwh,select dbms_qopatch.get_opatch_lsinventory() from dual,520612,477847,1,105,2344,2
fn0stp00nzmj6," SELECT /*+ first_rows(1) */ sql_id, force_matching_signature, sql_text, cast(NULL as SQL_OBJECTS) object_list, bind_data, parsing_schema_name, module, action, elapsed_time, cpu_time, buffer_gets, dis",515765,480828,1,50,1562,6
01uy9sb7w8a9g," begin      dbms_aqadm_sys.remove_all_nondurablesub(:1, :2);   end;",490937,364269,2,49,8828,0
b9c6ffh8tc71f,BEGIN dbms_output.enable(NULL); END;,454159,77539,5,9,146,0
9sg6u8xys290z,"select count(*) num_enabled, sum(case optimizer_stats when 'ENABLED' then 1 else 0 end) stats_enabled from dba_autotask_window_clients where autotask_status = 'ENABLED'",372624,272236,1,1522,9100,28
bmcj2k06ncg3y," select   /*jskqjobqlod1*/   /*+ no_monitor no_statement_queuing current_instance */   nvl(CON_ID, 0) CON_ID,  OBJOID,   CLSOID,                 RUNTIME,   2 * PRIORITY +    decode(bitand(STATUS, 4), ",339370,332025,1,18,4722,5
77w237hm1cv26,"select sqlset_row(NULL, NULL, NULL, NULL, bind_data, 'foo', NULL,                              NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL,                              NULL, NULL, NULL, NULL, NULL",324965,210727,1,65,1127,23
